"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"q_4",-0.00123483523594675,-0.0012139209598654,0.000947129746585025,0.000476079611467705,0.0012980870621738,0.00203672446862364,0.00181674948463939,0.00115859174083441,0.0022518056852584,0.00397345290548404,0.00517994539359436,0.00367447186751358,0.0100287532144918,0.0130653847945124,0.00984723612516734,0.00978565123039205
"q_5",0.00112138001186015,0.00270905416767903,0.00263306689640945,0.00337765044285616,0.00270927542466226,0.00251171961780735,0.000861720073279701,0.00130341371431729,0.000932833905268802,0.00178859347641339,0.00132480718787228,0.00250795708930461,0.00116073980283042,0.00269260856338924,0.00336590310740618,0.00114839423722439
"q_6",-0.000316894938456012,-0.00035814601173187,-0.00031413124505411,-0.00104538804841264,-0.000958421203139325,-0.00101198416707103,-0.000749242619436749,-0.000907518317203042,-0.000756184013191178,-0.00145436429730387,-0.00125941071968774,-0.00225393702844363,-0.0018306188623888,-0.00171816498587019,-0.0006072372234416,8.57555004185999e-05
"q_7",-0.000441964225202878,-0.000754944215697215,-8.24114874234792e-05,6.14647169941877e-05,-0.000154962394352303,0.000440457634481344,0.000927518494356883,0.000990125799260181,0.00124381163925295,0.00142953613536987,0.00132574659008937,0.00219842312618058,0.00238848893523567,0.00215558652065392,0.00196531400582198,-0.00044153508866366
"q_8",-0.000616509354039066,-0.00107791074361008,-0.00110488507389079,-0.000300952184645101,-0.000507542801173838,-0.000106716764500428,0.00028887203456608,0.000488631506987419,2.2749022757936e-05,-0.00132820067765564,-0.002275552365394,-0.00333887684297689,-0.00265677235427975,-0.00182106662666044,-0.00112889684843189,-0.00237031235854719
"q_9",-0.00121982206470018,-0.00151113693133967,-0.000953630780210679,-0.00113036981381978,-0.00200592678278931,-0.000993240751145029,-0.00100513147286535,-0.00278789132573001,-0.00286226652415844,-0.00214288928094383,-0.00291936310975591,-0.00287506523251631,0.000658471292974367,-0.00118514957036735,0.00133986640232167,0.00308313598409747
"q_10",-0.00140141964729985,-0.000424098877410082,-0.000488031586565209,-0.000792777344969814,-0.000776807563073183,-0.000646085352130401,-0.000223627154373631,-0.000547175965255023,-0.00129609733819404,-0.00188700867995038,-0.00193416012575673,-0.00171272907141952,-0.0018535194273447,-0.000547088571455345,-0.0007037977925253,-0.00173171823328877
"q_11",0.00184479311159793,0.0024491350800539,0.00165277663797719,0.00247282298724803,0.00305409906960432,0.00195542079876453,0.000908750169860724,0.00054679059366804,0.000772574409825281,-0.000301428594709702,-0.00128568616353847,-0.0010581295436318,-0.000444941401347231,0.00111560195960521,-0.0011682007386542,-0.00025676249015942
"q_1",-0.0200783842956888,-0.0522573346198973,-0.0483722784703954,-0.0382961614485363,-0.0542857633028074,-0.037601670643612,-0.0627240476150598,-0.0517549008655278,-0.095796171590712,-0.115332281399661,-0.112323980061388,-0.105396205836586,-0.176233133464401,-0.148369137529394,-0.158458226384545,-0.0876998140467732
"q_2",0.000154654051132418,0.000981701279551801,-0.00318494433296342,-0.00842922296745566,-0.00166522594247121,-0.0106167470829678,-0.00363267165565656,0.00240256812729778,0.00272192146554342,0.00738829325611545,0.00930112994683925,0.0114162969042872,0.0327886833582967,0.037279427470696,0.0451455894880032,0.0330304336505079
"q_3",-0.00210904553253911,-0.0035554228087454,0.00122394000265311,0.000144945798183376,0.00389824002530368,0.00605029522485938,0.00553275297186694,0.00137153824352255,-7.46266118609904e-05,0.00332664772535733,0.015490385294427,0.0109493466609874,0.0346124672706931,0.0142994286617093,0.0172256426179995,0.00240960433834073
"q_4",0.00555360020782859,-0.00225101415179775,-0.00509082720443226,-0.00231700398447057,0.0100838282847901,0.0103206931794369,0.010057404257087,0.0112589564522638,0.0145385161098635,0.01348927145328,0.0225241396542464,0.033487835464672,0.0554445435646091,0.0469539975134845,0.061557288439949,0.0474694430420263
